Тип,Артикул,Имя,"Короткое описание",Описание,Категории,Родительский,"Базовая цена","Цена распродажи",Запасы,"Имя атрибута 1","Значение(-я) аттрибута(-ов) 1","Глобальный атрибут 1","Имя атрибута 2","Значение(-я) аттрибута(-ов) 2","Глобальный атрибут 2","Имя атрибута 3","Значение(-я) аттрибута(-ов) 3","Глобальный атрибут 3","Имя атрибута 4","Значение(-я) аттрибута(-ов) 4","Глобальный атрибут 4","Имя атрибута 5","Значение(-я) аттрибута(-ов) 5","Глобальный атрибут 5","Имя атрибута 6","Значение(-я) аттрибута(-ов) 6","Глобальный атрибут 6","Имя атрибута 7","Значение(-я) аттрибута(-ов) 7","Глобальный атрибут 7","Имя атрибута 8","Значение(-я) аттрибута(-ов) 8","Глобальный атрибут 8"
variable,st14d,"Stels Talisman","Велосипед, предназначенный для детей в возрасте от двух до четырех лет, без переключения передач. Технические особенности: стальная рама Hi-Ten, жесткая стальная вилка, одинарные алюминиевые обода, ножные педальные тормоза, защита цепи, съемные боковые колеса, багажник, длинные крылья, мягкая накладка на руле, звонок. Подходит для обучения и прогулочного катания в городских условиях.","Год - 2020;
Рама - HPA, High Performance Aluminium, Aluminium Lite, AMF, Internal Cable Routing, Easy Mount Kickstand Ready; 
Вилка - SR Suntour XCE, ход: 100 мм; 
Рулевая колонка - Cube FPH863, полуинтегрированная; 
Вынос - Cube Performance Stem; 
Руль - Cube Rise Trail Bar, ширина: 680 мм, диаметр: 31.8 мм;
Грипсы - Cube Performance Grip; 
Задний переключатель - Shimano Tourney TX RD-TX800, 8 скоростей; 
Передний переключатель - Shimano Tourney FD-TY700-TS6, Topswing, диаметр хомута: 31.8 мм, 3 скорости;
Тормозные ручки - Tektro HD-M275; 
Тормоза - Tektro HD-M275, гидравлические дисковые; 
Тормозные диски (роторы) - диаметр: 160 мм; 
Система (шатуны) - Shimano Tourney FC-TY501, 42-34-24T, длина шатунов: 170 мм; 
Цепь - KMC Z8.3, под 8 скоростей; 
Кассета - Shimano Tourney TX CS-HG200-8, 12-32T, 8 скоростей; 
Втулки - Cube Alloy Light, QR, крепление роторов: 6 болтов","Детский велосипед",,,,,Цвет,"Желтый, Зеленый, Синий",1,"Размер рамы",,1,Бренд,Stels,1,Тип,Детские,1,Материал,Сталь,1,Тормоза,Ножные,1,"Количество скоростей",1,1,"Размер колес",14,1
variation,"543378 ","Stels Talisman",,,,st14d,3890,3250," 5",Цвет,Желтый,1,"Размер рамы",,1
variation,"
543379 ","Stels Talisman",,,,st14d,3890,3250," 10",Цвет,Зеленый,1,"Размер рамы",,1
variation,"
543380 ","Stels Talisman",,,,st14d,3890,3250," 7",Цвет,Синий,1,"Размер рамы",,1
